https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1651449600000,2022-05-02 00:00:00,AAVE/USDT,146.50000000,148.50000000,146.30000000,148.10000000,4401.23900000,650029.27130000,2136
1651446000000,2022-05-01 23:00:00,AAVE/USDT,143.80000000,147.20000000,143.20000000,146.50000000,7320.84900000,1068198.41320000,3144
1651442400000,2022-05-01 22:00:00,AAVE/USDT,144.30000000,146.00000000,143.40000000,143.70000000,5234.89400000,755629.52080000,1849
1651438800000,2022-05-01 21:00:00,AAVE/USDT,145.10000000,145.80000000,143.20000000,144.30000000,4607.01100000,665622.88250000,2681
1651435200000,2022-05-01 20:00:00,AAVE/USDT,142.70000000,145.30000000,141.70000000,145.10000000,5602.43600000,799392.05630000,2078
1651431600000,2022-05-01 19:00:00,AAVE/USDT,143.70000000,144.20000000,141.30000000,142.70000000,7032.35100000,1004231.09520000,2906
1651428000000,2022-05-01 18:00:00,AAVE/USDT,146.80000000,146.90000000,143.60000000,143.70000000,5390.98500000,784564.21150000,2522
1651424400000,2022-05-01 17:00:00,AAVE/USDT,147.50000000,148.60000000,146.40000000,146.70000000,4610.41600000,678690.89090000,1779
1651420800000,2022-05-01 16:00:00,AAVE/USDT,146.50000000,148.80000000,146.30000000,147.40000000,10252.42400000,1513282.17510000,4551
1651417200000,2022-05-01 15:00:00,AAVE/USDT,141.50000000,147.40000000,141.40000000,146.50000000,12528.18400000,1817663.47980000,6668
1651413600000,2022-05-01 14:00:00,AAVE/USDT,140.90000000,142.00000000,140.00000000,141.40000000,5040.71200000,710130.34180000,2324
1651410000000,2022-05-01 13:00:00,AAVE/USDT,142.20000000,142.80000000,140.60000000,141.00000000,2372.84100000,336327.07960000,1294
1651406400000,2022-05-01 12:00:00,AAVE/USDT,142.00000000,144.00000000,141.30000000,142.20000000,8487.46400000,1207417.75920000,2495
1651402800000,2022-05-01 11:00:00,AAVE/USDT,143.20000000,143.70000000,141.50000000,141.90000000,5521.63200000,787115.62950000,1661
1651399200000,2022-05-01 10:00:00,AAVE/USDT,143.00000000,143.90000000,142.40000000,143.20000000,2554.17900000,365670.67640000,1154
1651395600000,2022-05-01 09:00:00,AAVE/USDT,144.60000000,144.90000000,142.20000000,142.90000000,4116.17300000,590080.60810000,1506
1651392000000,2022-05-01 08:00:00,AAVE/USDT,142.70000000,144.80000000,142.70000000,144.50000000,4622.66600000,664380.30210000,1631
1651388400000,2022-05-01 07:00:00,AAVE/USDT,143.00000000,143.70000000,142.20000000,142.80000000,2680.12100000,383136.06530000,1304
1651384800000,2022-05-01 06:00:00,AAVE/USDT,145.10000000,145.80000000,142.80000000,143.00000000,4524.26000000,653830.87260000,1901
1651381200000,2022-05-01 05:00:00,AAVE/USDT,142.10000000,146.00000000,142.00000000,145.00000000,6237.40100000,900433.43070000,3105
1651377600000,2022-05-01 04:00:00,AAVE/USDT,143.50000000,143.60000000,141.00000000,142.10000000,4438.05600000,631166.03800000,1900
1651374000000,2022-05-01 03:00:00,AAVE/USDT,142.90000000,144.10000000,142.60000000,143.60000000,5890.21100000,844385.05610000,1845
1651370400000,2022-05-01 02:00:00,AAVE/USDT,143.60000000,145.30000000,142.70000000,142.80000000,6606.73100000,951428.34730000,2783
1651366800000,2022-05-01 01:00:00,AAVE/USDT,141.70000000,144.20000000,138.90000000,143.70000000,13408.58200000,1902458.01110000,6107
1651363200000,2022-05-01 00:00:00,AAVE/USDT,142.30000000,143.60000000,139.40000000,141.80000000,21562.47000000,3059800.97280000,7303
1651359600000,2022-04-30 23:00:00,AAVE/USDT,149.70000000,150.60000000,137.80000000,142.30000000,65436.55400000,9334411.81500000,27823
1651356000000,2022-04-30 22:00:00,AAVE/USDT,153.90000000,153.90000000,149.20000000,149.60000000,22257.91500000,3358806.67990000,8188
1651352400000,2022-04-30 21:00:00,AAVE/USDT,152.90000000,154.40000000,152.20000000,153.90000000,5641.84500000,865746.32030000,1595
1651348800000,2022-04-30 20:00:00,AAVE/USDT,153.50000000,153.80000000,152.10000000,152.90000000,5353.14500000,817236.01630000,1437
1651345200000,2022-04-30 19:00:00,AAVE/USDT,153.10000000,154.00000000,151.60000000,153.60000000,4083.01400000,623127.14880000,1547
1651341600000,2022-04-30 18:00:00,AAVE/USDT,151.80000000,153.20000000,151.40000000,153.20000000,5242.78900000,798305.94120000,2102
1651338000000,2022-04-30 17:00:00,AAVE/USDT,153.90000000,154.00000000,151.40000000,151.90000000,9661.78800000,1476146.20100000,3645
1651334400000,2022-04-30 16:00:00,AAVE/USDT,155.00000000,156.70000000,153.80000000,153.80000000,6436.24400000,1000123.11040000,2505
1651330800000,2022-04-30 15:00:00,AAVE/USDT,152.20000000,155.50000000,151.30000000,155.10000000,12109.40100000,1857170.30150000,4801
1651327200000,2022-04-30 14:00:00,AAVE/USDT,155.90000000,157.30000000,152.10000000,152.30000000,10720.46600000,1656947.85580000,4747
1651323600000,2022-04-30 13:00:00,AAVE/USDT,157.20000000,158.60000000,155.70000000,156.00000000,5474.03100000,860909.41120000,2099
1651320000000,2022-04-30 12:00:00,AAVE/USDT,157.90000000,159.10000000,157.30000000,157.30000000,3479.84200000,550901.73810000,1241
1651316400000,2022-04-30 11:00:00,AAVE/USDT,156.90000000,159.30000000,156.90000000,157.90000000,4208.16200000,666002.66810000,2047
1651312800000,2022-04-30 10:00:00,AAVE/USDT,156.60000000,158.10000000,156.00000000,157.10000000,4474.94600000,702310.04910000,2076
1651309200000,2022-04-30 09:00:00,AAVE/USDT,155.70000000,156.80000000,155.20000000,156.70000000,4353.10600000,679821.81920000,1458
1651305600000,2022-04-30 08:00:00,AAVE/USDT,156.80000000,157.50000000,154.60000000,155.70000000,9338.88000000,1455206.45580000,3490
1651302000000,2022-04-30 07:00:00,AAVE/USDT,158.10000000,158.20000000,156.40000000,156.80000000,4384.35300000,689622.12300000,2168
1651298400000,2022-04-30 06:00:00,AAVE/USDT,159.60000000,159.80000000,157.60000000,158.10000000,2125.43200000,337168.47310000,1062
1651294800000,2022-04-30 05:00:00,AAVE/USDT,158.20000000,159.60000000,157.60000000,159.50000000,2067.47800000,328007.97140000,874
1651291200000,2022-04-30 04:00:00,AAVE/USDT,157.90000000,159.00000000,157.50000000,158.10000000,3190.60900000,505029.55810000,1237
