https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC,tradecount
1651449600000,2022-05-02 00:00:00,ADA/BTC,0.00002053,0.00002056,0.00002045,0.00002050,988031.70000000,20.25397951,1282
1651446000000,2022-05-01 23:00:00,ADA/BTC,0.00002047,0.00002055,0.00002041,0.00002052,1288455.90000000,26.39961466,1877
1651442400000,2022-05-01 22:00:00,ADA/BTC,0.00002031,0.00002050,0.00002027,0.00002046,1302456.90000000,26.56224258,1903
1651438800000,2022-05-01 21:00:00,ADA/BTC,0.00002043,0.00002048,0.00002026,0.00002031,503764.60000000,10.25186070,1005
1651435200000,2022-05-01 20:00:00,ADA/BTC,0.00002038,0.00002046,0.00002034,0.00002043,665316.20000000,13.57740683,930
1651431600000,2022-05-01 19:00:00,ADA/BTC,0.00002047,0.00002052,0.00002033,0.00002038,996347.80000000,20.35955197,1485
1651428000000,2022-05-01 18:00:00,ADA/BTC,0.00002065,0.00002066,0.00002046,0.00002047,963000.90000000,19.79033705,1514
1651424400000,2022-05-01 17:00:00,ADA/BTC,0.00002067,0.00002071,0.00002061,0.00002065,584414.30000000,12.07413068,1011
1651420800000,2022-05-01 16:00:00,ADA/BTC,0.00002055,0.00002074,0.00002050,0.00002067,975920.60000000,20.12342391,2100
1651417200000,2022-05-01 15:00:00,ADA/BTC,0.00002029,0.00002056,0.00002029,0.00002054,1555294.10000000,31.73700676,2143
1651413600000,2022-05-01 14:00:00,ADA/BTC,0.00002035,0.00002042,0.00002026,0.00002029,579771.70000000,11.79419524,850
1651410000000,2022-05-01 13:00:00,ADA/BTC,0.00002036,0.00002042,0.00002033,0.00002035,369059.60000000,7.52083884,802
1651406400000,2022-05-01 12:00:00,ADA/BTC,0.00002031,0.00002039,0.00002025,0.00002036,612390.50000000,12.44764686,1117
1651402800000,2022-05-01 11:00:00,ADA/BTC,0.00002033,0.00002040,0.00002030,0.00002031,445330.10000000,9.06011207,807
1651399200000,2022-05-01 10:00:00,ADA/BTC,0.00002032,0.00002037,0.00002027,0.00002032,493615.20000000,10.03036727,881
1651395600000,2022-05-01 09:00:00,ADA/BTC,0.00002040,0.00002040,0.00002027,0.00002032,568839.30000000,11.55806428,947
1651392000000,2022-05-01 08:00:00,ADA/BTC,0.00002022,0.00002041,0.00002022,0.00002039,544282.40000000,11.06015988,1077
1651388400000,2022-05-01 07:00:00,ADA/BTC,0.00002027,0.00002031,0.00002020,0.00002021,809001.90000000,16.39301800,1075
1651384800000,2022-05-01 06:00:00,ADA/BTC,0.00002032,0.00002037,0.00002024,0.00002027,801731.80000000,16.26991776,1286
1651381200000,2022-05-01 05:00:00,ADA/BTC,0.00002014,0.00002042,0.00002014,0.00002032,1580962.50000000,32.10550271,2064
1651377600000,2022-05-01 04:00:00,ADA/BTC,0.00002010,0.00002023,0.00002005,0.00002014,1184469.50000000,23.84668327,1567
1651374000000,2022-05-01 03:00:00,ADA/BTC,0.00002011,0.00002019,0.00002006,0.00002008,732702.70000000,14.75239378,1263
1651370400000,2022-05-01 02:00:00,ADA/BTC,0.00002023,0.00002039,0.00002006,0.00002010,1660051.70000000,33.57433499,2839
1651366800000,2022-05-01 01:00:00,ADA/BTC,0.00002014,0.00002022,0.00001983,0.00002022,2247821.50000000,45.03760354,3851
1651363200000,2022-05-01 00:00:00,ADA/BTC,0.00002007,0.00002028,0.00002003,0.00002014,2178383.50000000,43.90456487,3745
1651359600000,2022-04-30 23:00:00,ADA/BTC,0.00002005,0.00002015,0.00001955,0.00002008,7615666.20000000,151.36426962,11010
1651356000000,2022-04-30 22:00:00,ADA/BTC,0.00002035,0.00002035,0.00002003,0.00002005,3522246.80000000,71.07470177,6207
1651352400000,2022-04-30 21:00:00,ADA/BTC,0.00002036,0.00002039,0.00002031,0.00002037,1293037.60000000,26.30309830,1748
1651348800000,2022-04-30 20:00:00,ADA/BTC,0.00002049,0.00002049,0.00002034,0.00002037,979859.40000000,19.98378653,1323
1651345200000,2022-04-30 19:00:00,ADA/BTC,0.00002047,0.00002052,0.00002041,0.00002050,684612.50000000,14.00432846,996
1651341600000,2022-04-30 18:00:00,ADA/BTC,0.00002040,0.00002053,0.00002038,0.00002046,806983.80000000,16.50799527,1468
1651338000000,2022-04-30 17:00:00,ADA/BTC,0.00002056,0.00002060,0.00002035,0.00002041,1639410.20000000,33.58501321,3474
1651334400000,2022-04-30 16:00:00,ADA/BTC,0.00002065,0.00002067,0.00002055,0.00002057,528249.70000000,10.89108585,987
1651330800000,2022-04-30 15:00:00,ADA/BTC,0.00002060,0.00002067,0.00002055,0.00002065,685130.40000000,14.11845545,1712
1651327200000,2022-04-30 14:00:00,ADA/BTC,0.00002083,0.00002086,0.00002059,0.00002060,1061121.80000000,22.00111924,2621
1651323600000,2022-04-30 13:00:00,ADA/BTC,0.00002092,0.00002099,0.00002082,0.00002084,538479.10000000,11.25910792,872
1651320000000,2022-04-30 12:00:00,ADA/BTC,0.00002087,0.00002096,0.00002087,0.00002092,234461.40000000,4.90430172,510
1651316400000,2022-04-30 11:00:00,ADA/BTC,0.00002086,0.00002094,0.00002086,0.00002088,348744.60000000,7.28742069,558
1651312800000,2022-04-30 10:00:00,ADA/BTC,0.00002097,0.00002099,0.00002086,0.00002086,393663.80000000,8.23637696,768
1651309200000,2022-04-30 09:00:00,ADA/BTC,0.00002105,0.00002106,0.00002093,0.00002098,914561.40000000,19.19990658,849
1651305600000,2022-04-30 08:00:00,ADA/BTC,0.00002106,0.00002112,0.00002102,0.00002104,436864.40000000,9.20043766,811
1651302000000,2022-04-30 07:00:00,ADA/BTC,0.00002112,0.00002113,0.00002103,0.00002106,571872.90000000,12.05667152,780
1651298400000,2022-04-30 06:00:00,ADA/BTC,0.00002106,0.00002112,0.00002098,0.00002111,457578.00000000,9.63782518,671
1651294800000,2022-04-30 05:00:00,ADA/BTC,0.00002105,0.00002112,0.00002102,0.00002106,416725.90000000,8.78364770,935
1651291200000,2022-04-30 04:00:00,ADA/BTC,0.00002090,0.00002106,0.00002089,0.00002104,759208.40000000,15.92173343,965
1651287600000,2022-04-30 03:00:00,ADA/BTC,0.00002085,0.00002093,0.00002085,0.00002089,712222.10000000,14.87195097,903
1651284000000,2022-04-30 02:00:00,ADA/BTC,0.00002091,0.00002098,0.00002082,0.00002084,1273605.60000000,26.59677138,1715
1651280400000,2022-04-30 01:00:00,ADA/BTC,0.00002102,0.00002104,0.00002090,0.00002091,1068495.60000000,22.38901700,1427
1651276800000,2022-04-30 00:00:00,ADA/BTC,0.00002086,0.00002103,0.00002081,0.00002103,1013361.00000000,21.20612805,1610
1651273200000,2022-04-29 23:00:00,ADA/BTC,0.00002093,0.00002097,0.00002083,0.00002085,757605.60000000,15.82641746,1398
1651269600000,2022-04-29 22:00:00,ADA/BTC,0.00002086,0.00002097,0.00002078,0.00002094,1255735.40000000,26.22303972,1913
1651266000000,2022-04-29 21:00:00,ADA/BTC,0.00002081,0.00002096,0.00002081,0.00002086,527283.70000000,11.00552679,1216
1651262400000,2022-04-29 20:00:00,ADA/BTC,0.00002078,0.00002091,0.00002075,0.00002081,887449.80000000,18.48315717,1900
1651258800000,2022-04-29 19:00:00,ADA/BTC,0.00002091,0.00002094,0.00002068,0.00002077,1129861.00000000,23.54986098,3187
1651255200000,2022-04-29 18:00:00,ADA/BTC,0.00002092,0.00002101,0.00002082,0.00002091,1198459.00000000,25.03966922,1588
1651251600000,2022-04-29 17:00:00,ADA/BTC,0.00002097,0.00002102,0.00002090,0.00002092,428097.90000000,8.97732708,684
1651248000000,2022-04-29 16:00:00,ADA/BTC,0.00002098,0.00002099,0.00002088,0.00002096,602957.60000000,12.62775039,979
1651244400000,2022-04-29 15:00:00,ADA/BTC,0.00002084,0.00002098,0.00002084,0.00002098,330567.30000000,6.92052485,715
1651240800000,2022-04-29 14:00:00,ADA/BTC,0.00002093,0.00002097,0.00002084,0.00002084,495154.10000000,10.36082633,914
1651237200000,2022-04-29 13:00:00,ADA/BTC,0.00002095,0.00002101,0.00002091,0.00002092,635669.60000000,13.32911144,1094
1651233600000,2022-04-29 12:00:00,ADA/BTC,0.00002096,0.00002103,0.00002094,0.00002096,748612.40000000,15.70554264,1156
1651230000000,2022-04-29 11:00:00,ADA/BTC,0.00002090,0.00002096,0.00002084,0.00002096,779600.60000000,16.29329004,1393
1651226400000,2022-04-29 10:00:00,ADA/BTC,0.00002099,0.00002106,0.00002081,0.00002091,1610221.00000000,33.69134239,2956
1651222800000,2022-04-29 09:00:00,ADA/BTC,0.00002107,0.00002111,0.00002095,0.00002100,861198.70000000,18.09953493,1580
1651219200000,2022-04-29 08:00:00,ADA/BTC,0.00002112,0.00002120,0.00002108,0.00002108,637449.00000000,13.47124064,900
1651215600000,2022-04-29 07:00:00,ADA/BTC,0.00002116,0.00002118,0.00002111,0.00002111,373947.10000000,7.90959266,571
1651212000000,2022-04-29 06:00:00,ADA/BTC,0.00002109,0.00002120,0.00002107,0.00002116,413682.80000000,8.74802605,671
1651208400000,2022-04-29 05:00:00,ADA/BTC,0.00002118,0.00002122,0.00002108,0.00002109,361519.90000000,7.64480840,694
1651204800000,2022-04-29 04:00:00,ADA/BTC,0.00002112,0.00002122,0.00002106,0.00002118,820736.80000000,17.32654771,986
1651201200000,2022-04-29 03:00:00,ADA/BTC,0.00002116,0.00002121,0.00002110,0.00002112,693757.80000000,14.67298572,869
1651197600000,2022-04-29 02:00:00,ADA/BTC,0.00002116,0.00002118,0.00002110,0.00002117,1245963.60000000,26.34392072,1003
1651194000000,2022-04-29 01:00:00,ADA/BTC,0.00002119,0.00002129,0.00002114,0.00002115,689508.30000000,14.63293171,1044
1651190400000,2022-04-29 00:00:00,ADA/BTC,0.00002122,0.00002124,0.00002118,0.00002119,702863.30000000,14.90659552,1006
1651186800000,2022-04-28 23:00:00,ADA/BTC,0.00002123,0.00002130,0.00002118,0.00002121,1006082.80000000,21.36599617,1203
1651183200000,2022-04-28 22:00:00,ADA/BTC,0.00002133,0.00002134,0.00002118,0.00002123,1297160.40000000,27.54449751,1674
1651179600000,2022-04-28 21:00:00,ADA/BTC,0.00002112,0.00002135,0.00002111,0.00002134,1456671.50000000,30.98123587,1947
