https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,tradecount
1651449600000,2022-05-02 00:00:00,DOGE/USDT,0.13270000,0.13400000,0.13260000,0.13360000,30598536.00000000,4079474.11130000,4495
1651446000000,2022-05-01 23:00:00,DOGE/USDT,0.13150000,0.13350000,0.13110000,0.13270000,37046539.00000000,4911241.93340000,5593
1651442400000,2022-05-01 22:00:00,DOGE/USDT,0.13180000,0.13280000,0.13140000,0.13150000,16673610.00000000,2201826.32830000,3478
1651438800000,2022-05-01 21:00:00,DOGE/USDT,0.13130000,0.13200000,0.13040000,0.13190000,18459731.00000000,2422729.58970000,3517
1651435200000,2022-05-01 20:00:00,DOGE/USDT,0.13060000,0.13140000,0.12950000,0.13140000,23319124.00000000,3041539.23460000,3728
1651431600000,2022-05-01 19:00:00,DOGE/USDT,0.13090000,0.13100000,0.12960000,0.13060000,40419248.00000000,5269215.14100000,6423
1651428000000,2022-05-01 18:00:00,DOGE/USDT,0.13280000,0.13310000,0.13080000,0.13080000,46808766.00000000,6176529.43900000,7272
1651424400000,2022-05-01 17:00:00,DOGE/USDT,0.13330000,0.13410000,0.13270000,0.13290000,35260217.00000000,4698817.68090000,5254
1651420800000,2022-05-01 16:00:00,DOGE/USDT,0.13370000,0.13460000,0.13320000,0.13320000,55967694.00000000,7494260.16370000,7663
1651417200000,2022-05-01 15:00:00,DOGE/USDT,0.13150000,0.13420000,0.13140000,0.13360000,84136030.00000000,11208129.81780000,11181
1651413600000,2022-05-01 14:00:00,DOGE/USDT,0.13160000,0.13230000,0.13100000,0.13150000,25067783.00000000,3297423.84600000,5721
1651410000000,2022-05-01 13:00:00,DOGE/USDT,0.13210000,0.13250000,0.13140000,0.13160000,22046741.00000000,2906352.75880000,6087
1651406400000,2022-05-01 12:00:00,DOGE/USDT,0.13100000,0.13210000,0.13040000,0.13210000,37103809.00000000,4868645.23650000,6346
1651402800000,2022-05-01 11:00:00,DOGE/USDT,0.13110000,0.13170000,0.13060000,0.13090000,35485735.00000000,4652799.93290000,4560
1651399200000,2022-05-01 10:00:00,DOGE/USDT,0.13110000,0.13170000,0.13080000,0.13110000,22432656.00000000,2944407.41740000,3579
1651395600000,2022-05-01 09:00:00,DOGE/USDT,0.13200000,0.13230000,0.13020000,0.13110000,38833301.00000000,5089424.48600000,5090
1651392000000,2022-05-01 08:00:00,DOGE/USDT,0.13180000,0.13270000,0.13110000,0.13200000,45460749.00000000,5998786.41940000,6311
1651388400000,2022-05-01 07:00:00,DOGE/USDT,0.13130000,0.13180000,0.13060000,0.13180000,41908440.00000000,5502959.01220000,5648
1651384800000,2022-05-01 06:00:00,DOGE/USDT,0.13160000,0.13330000,0.13090000,0.13130000,69928730.00000000,9240096.12480000,9029
1651381200000,2022-05-01 05:00:00,DOGE/USDT,0.12910000,0.13660000,0.12900000,0.13160000,211259871.00000000,28073989.47720000,31296
1651377600000,2022-05-01 04:00:00,DOGE/USDT,0.13020000,0.13030000,0.12880000,0.12910000,27541384.00000000,3568400.88330000,4177
1651374000000,2022-05-01 03:00:00,DOGE/USDT,0.12940000,0.13040000,0.12940000,0.13010000,27166021.00000000,3530575.90540000,3647
1651370400000,2022-05-01 02:00:00,DOGE/USDT,0.13000000,0.13080000,0.12910000,0.12940000,54862621.00000000,7135118.87120000,8600
1651366800000,2022-05-01 01:00:00,DOGE/USDT,0.12800000,0.13040000,0.12650000,0.12990000,96860930.00000000,12436050.23900000,15459
1651363200000,2022-05-01 00:00:00,DOGE/USDT,0.12730000,0.12900000,0.12600000,0.12800000,94170308.00000000,12023527.50420000,16741
1651359600000,2022-04-30 23:00:00,DOGE/USDT,0.12980000,0.13030000,0.12380000,0.12740000,407098586.00000000,51400815.00960000,78537
1651356000000,2022-04-30 22:00:00,DOGE/USDT,0.13110000,0.13120000,0.12940000,0.12980000,97191964.00000000,12655638.85170000,21864
1651352400000,2022-04-30 21:00:00,DOGE/USDT,0.13220000,0.13250000,0.13110000,0.13110000,19607134.00000000,2586765.91830000,3150
1651348800000,2022-04-30 20:00:00,DOGE/USDT,0.13250000,0.13270000,0.13200000,0.13230000,22820649.00000000,3020127.09650000,6683
1651345200000,2022-04-30 19:00:00,DOGE/USDT,0.13150000,0.13290000,0.13130000,0.13260000,26821645.00000000,3541072.39310000,3893
1651341600000,2022-04-30 18:00:00,DOGE/USDT,0.13120000,0.13180000,0.13080000,0.13160000,31635573.00000000,4156160.04790000,5745
1651338000000,2022-04-30 17:00:00,DOGE/USDT,0.13280000,0.13300000,0.13090000,0.13110000,64791137.00000000,8548716.85300000,7928
1651334400000,2022-04-30 16:00:00,DOGE/USDT,0.13310000,0.13440000,0.13270000,0.13290000,40806696.00000000,5452937.81350000,5927
1651330800000,2022-04-30 15:00:00,DOGE/USDT,0.13190000,0.13360000,0.13110000,0.13320000,67358766.00000000,8915170.31780000,10816
1651327200000,2022-04-30 14:00:00,DOGE/USDT,0.13380000,0.13400000,0.13160000,0.13190000,97192241.00000000,12919902.79390000,15970
1651323600000,2022-04-30 13:00:00,DOGE/USDT,0.13430000,0.13500000,0.13340000,0.13380000,46527267.00000000,6241915.66400000,10966
1651320000000,2022-04-30 12:00:00,DOGE/USDT,0.13480000,0.13530000,0.13430000,0.13430000,26173836.00000000,3525858.32430000,6989
1651316400000,2022-04-30 11:00:00,DOGE/USDT,0.13490000,0.13530000,0.13480000,0.13480000,16156065.00000000,2181847.89890000,3723
1651312800000,2022-04-30 10:00:00,DOGE/USDT,0.13510000,0.13550000,0.13490000,0.13490000,17319651.00000000,2339953.15260000,3825
1651309200000,2022-04-30 09:00:00,DOGE/USDT,0.13520000,0.13560000,0.13480000,0.13510000,34290972.00000000,4634629.86190000,3760
1651305600000,2022-04-30 08:00:00,DOGE/USDT,0.13540000,0.13570000,0.13450000,0.13530000,36464970.00000000,4925737.44070000,6168
1651302000000,2022-04-30 07:00:00,DOGE/USDT,0.13650000,0.13660000,0.13510000,0.13540000,25508923.00000000,3462879.36900000,5527
1651298400000,2022-04-30 06:00:00,DOGE/USDT,0.13650000,0.13660000,0.13580000,0.13650000,17427089.00000000,2372779.04200000,3079
1651294800000,2022-04-30 05:00:00,DOGE/USDT,0.13560000,0.13680000,0.13530000,0.13660000,26285838.00000000,3574229.69570000,4270
1651291200000,2022-04-30 04:00:00,DOGE/USDT,0.13570000,0.13620000,0.13510000,0.13550000,18888268.00000000,2560276.44100000,2820
1651287600000,2022-04-30 03:00:00,DOGE/USDT,0.13510000,0.13590000,0.13460000,0.13580000,21725212.00000000,2938388.78020000,7400
1651284000000,2022-04-30 02:00:00,DOGE/USDT,0.13580000,0.13620000,0.13490000,0.13510000,27373277.00000000,3713552.69670000,4851
1651280400000,2022-04-30 01:00:00,DOGE/USDT,0.13600000,0.13610000,0.13510000,0.13580000,28068936.00000000,3806204.51360000,12645
1651276800000,2022-04-30 00:00:00,DOGE/USDT,0.13500000,0.13620000,0.13460000,0.13590000,38998339.00000000,5282039.70520000,6336
1651273200000,2022-04-29 23:00:00,DOGE/USDT,0.13480000,0.13610000,0.13430000,0.13490000,37070607.00000000,5003620.18660000,5454
