https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1651536000000,2022-05-03 00:00:00,XRP/USDT,0.6140,0.6182,0.6136,0.6151,19484646.0,11999573.09066,21952
1651532400000,2022-05-02 23:00:00,XRP/USDT,0.6141,0.6169,0.6117,0.6141,28567068.6,17546335.53100,28038
1651528800000,2022-05-02 22:00:00,XRP/USDT,0.6187,0.6205,0.6126,0.6141,35869512.3,22134271.83783,35810
1651525200000,2022-05-02 21:00:00,XRP/USDT,0.6067,0.6236,0.6063,0.6187,30110775.9,18506851.47029,36403
1651521600000,2022-05-02 20:00:00,XRP/USDT,0.6079,0.6096,0.6054,0.6068,14990888.8,9103072.33571,20095
1651518000000,2022-05-02 19:00:00,XRP/USDT,0.6026,0.6086,0.6016,0.6079,25773315.7,15612915.20707,32534
1651514400000,2022-05-02 18:00:00,XRP/USDT,0.6017,0.6039,0.5977,0.6025,30792755.2,18496142.99690,39945
1651510800000,2022-05-02 17:00:00,XRP/USDT,0.6078,0.6084,0.5983,0.6017,39019485.1,23540846.77507,48996
1651507200000,2022-05-02 16:00:00,XRP/USDT,0.6081,0.6133,0.6067,0.6078,25857900.2,15774688.60905,34274
1651503600000,2022-05-02 15:00:00,XRP/USDT,0.6121,0.6146,0.6059,0.6081,34617314.9,21106798.69833,39563
1651500000000,2022-05-02 14:00:00,XRP/USDT,0.6134,0.6167,0.6078,0.6120,43266739.7,26494287.88457,49661
1651496400000,2022-05-02 13:00:00,XRP/USDT,0.6078,0.6162,0.6032,0.6134,87798526.7,53607214.63879,79639
1651492800000,2022-05-02 12:00:00,XRP/USDT,0.6093,0.6149,0.6076,0.6078,34457934.1,21071949.63013,34782
1651489200000,2022-05-02 11:00:00,XRP/USDT,0.6145,0.6163,0.6070,0.6094,48343290.2,29530397.36458,48903
1651485600000,2022-05-02 10:00:00,XRP/USDT,0.6165,0.6183,0.6119,0.6144,43277664.4,26635738.83345,42960
1651482000000,2022-05-02 09:00:00,XRP/USDT,0.6218,0.6241,0.6149,0.6165,31214240.4,19342460.53161,35153
1651478400000,2022-05-02 08:00:00,XRP/USDT,0.6232,0.6272,0.6207,0.6218,31992214.0,19938359.83948,37914
1651474800000,2022-05-02 07:00:00,XRP/USDT,0.6255,0.6303,0.6216,0.6232,33297375.4,20872620.40796,33629
1651471200000,2022-05-02 06:00:00,XRP/USDT,0.6232,0.6306,0.6226,0.6254,29746375.8,18643687.47895,33236
1651467600000,2022-05-02 05:00:00,XRP/USDT,0.6226,0.6258,0.6201,0.6233,25817487.5,16079533.22585,29065
1651464000000,2022-05-02 04:00:00,XRP/USDT,0.6182,0.6232,0.6163,0.6226,22046486.5,13651783.89031,23949
1651460400000,2022-05-02 03:00:00,XRP/USDT,0.6174,0.6235,0.6171,0.6182,30434324.7,18856292.45230,31217
1651456800000,2022-05-02 02:00:00,XRP/USDT,0.6136,0.6174,0.6118,0.6174,17115613.2,10513784.95718,24127
1651453200000,2022-05-02 01:00:00,XRP/USDT,0.6202,0.6217,0.6106,0.6136,65114384.5,40109258.02914,53023
1651449600000,2022-05-02 00:00:00,XRP/USDT,0.6066,0.6201,0.6045,0.6201,43683019.4,26790273.30485,46252
1651446000000,2022-05-01 23:00:00,XRP/USDT,0.6036,0.6096,0.6026,0.6066,25640849.9,15552168.95269,22517
1651442400000,2022-05-01 22:00:00,XRP/USDT,0.6010,0.6067,0.6004,0.6036,17240320.4,10417671.80090,17258
1651438800000,2022-05-01 21:00:00,XRP/USDT,0.6052,0.6055,0.5972,0.6010,20934799.1,12590377.01973,25664
1651435200000,2022-05-01 20:00:00,XRP/USDT,0.5974,0.6056,0.5957,0.6051,22169109.0,13291200.13493,27912
1651431600000,2022-05-01 19:00:00,XRP/USDT,0.5995,0.6005,0.5929,0.5975,33650889.6,20094015.15729,40194
1651428000000,2022-05-01 18:00:00,XRP/USDT,0.6091,0.6098,0.5986,0.5996,34395444.8,20790849.26489,40545
1651424400000,2022-05-01 17:00:00,XRP/USDT,0.6055,0.6121,0.6053,0.6091,26112829.8,15889730.09181,34233
1651420800000,2022-05-01 16:00:00,XRP/USDT,0.6039,0.6073,0.6019,0.6055,37566152.4,22708475.19721,42703
1651417200000,2022-05-01 15:00:00,XRP/USDT,0.5922,0.6060,0.5916,0.6040,48274461.8,28935744.63227,51583
1651413600000,2022-05-01 14:00:00,XRP/USDT,0.5906,0.5932,0.5900,0.5921,16393885.9,9699066.40761,24945
1651410000000,2022-05-01 13:00:00,XRP/USDT,0.5933,0.5945,0.5902,0.5905,14549801.9,8615455.01833,22448
1651406400000,2022-05-01 12:00:00,XRP/USDT,0.5889,0.5960,0.5879,0.5932,36871014.1,21813559.15686,38201
1651402800000,2022-05-01 11:00:00,XRP/USDT,0.5903,0.5914,0.5877,0.5890,13355071.8,7875714.17008,21356
1651399200000,2022-05-01 10:00:00,XRP/USDT,0.5896,0.5923,0.5887,0.5902,13825997.3,8166298.75610,20982
1651395600000,2022-05-01 09:00:00,XRP/USDT,0.5915,0.5927,0.5869,0.5896,20550936.9,12126107.82269,25282
1651392000000,2022-05-01 08:00:00,XRP/USDT,0.5866,0.5918,0.5866,0.5915,23324348.4,13749961.27237,27119
1651388400000,2022-05-01 07:00:00,XRP/USDT,0.5913,0.5915,0.5843,0.5866,29515392.4,17354657.63509,30564
1651384800000,2022-05-01 06:00:00,XRP/USDT,0.5932,0.5959,0.5901,0.5912,23187558.0,13741497.14383,29139
1651381200000,2022-05-01 05:00:00,XRP/USDT,0.5878,0.5963,0.5868,0.5932,32896765.9,19491909.69102,43197
1651377600000,2022-05-01 04:00:00,XRP/USDT,0.5910,0.5921,0.5867,0.5878,22119587.7,13037898.72449,27063
1651374000000,2022-05-01 03:00:00,XRP/USDT,0.5873,0.5935,0.5864,0.5910,30506460.8,17988759.90193,25979
1651370400000,2022-05-01 02:00:00,XRP/USDT,0.5898,0.5937,0.5857,0.5873,30239860.3,17821149.89841,37848
1651366800000,2022-05-01 01:00:00,XRP/USDT,0.5844,0.5923,0.5750,0.5897,60277256.5,35239031.05953,63053
1651363200000,2022-05-01 00:00:00,XRP/USDT,0.5839,0.5894,0.5766,0.5845,68924829.4,40276506.59738,66694
1651359600000,2022-04-30 23:00:00,XRP/USDT,0.6047,0.6066,0.5609,0.5839,268466733.6,156028058.94437,208192
1651356000000,2022-04-30 22:00:00,XRP/USDT,0.6105,0.6110,0.6035,0.6047,36645697.2,22258904.36802,44572
1651352400000,2022-04-30 21:00:00,XRP/USDT,0.6066,0.6133,0.6058,0.6106,12678485.6,7717215.59537,16322
1651348800000,2022-04-30 20:00:00,XRP/USDT,0.6111,0.6113,0.6056,0.6065,13829344.3,8413735.81573,20824
1651345200000,2022-04-30 19:00:00,XRP/USDT,0.6093,0.6120,0.6071,0.6112,17147739.0,10446672.22199,20147
1651341600000,2022-04-30 18:00:00,XRP/USDT,0.6063,0.6109,0.6051,0.6093,31205046.1,18982304.25993,34719
1651338000000,2022-04-30 17:00:00,XRP/USDT,0.6134,0.6137,0.6023,0.6063,48402426.1,29470239.83054,47963
1651334400000,2022-04-30 16:00:00,XRP/USDT,0.6160,0.6182,0.6125,0.6135,18033723.0,11106588.00016,22984
1651330800000,2022-04-30 15:00:00,XRP/USDT,0.6104,0.6183,0.6083,0.6159,34283388.5,21058153.54529,38096
1651327200000,2022-04-30 14:00:00,XRP/USDT,0.6191,0.6212,0.6096,0.6104,45692492.2,28124860.37322,45099
1651323600000,2022-04-30 13:00:00,XRP/USDT,0.6229,0.6265,0.6188,0.6192,24950755.6,15535375.96995,28802
1651320000000,2022-04-30 12:00:00,XRP/USDT,0.6197,0.6235,0.6190,0.6228,18768830.4,11662185.64770,22635
1651316400000,2022-04-30 11:00:00,XRP/USDT,0.6199,0.6246,0.6197,0.6197,20382825.6,12671229.07012,23829
1651312800000,2022-04-30 10:00:00,XRP/USDT,0.6211,0.6216,0.6189,0.6199,12006585.6,7445078.61302,19694
1651309200000,2022-04-30 09:00:00,XRP/USDT,0.6188,0.6218,0.6177,0.6212,26938064.1,16705873.84783,27596
1651305600000,2022-04-30 08:00:00,XRP/USDT,0.6228,0.6245,0.6162,0.6189,47770398.0,29624133.06111,41958
1651302000000,2022-04-30 07:00:00,XRP/USDT,0.6265,0.6272,0.6200,0.6228,25064759.8,15626951.66620,30235
1651298400000,2022-04-30 06:00:00,XRP/USDT,0.6230,0.6288,0.6219,0.6266,19693140.8,12313769.95096,27555
1651294800000,2022-04-30 05:00:00,XRP/USDT,0.6206,0.6249,0.6193,0.6231,18920999.6,11772034.54321,21444
1651291200000,2022-04-30 04:00:00,XRP/USDT,0.6195,0.6209,0.6168,0.6206,13696850.4,8477964.53069,22376
1651287600000,2022-04-30 03:00:00,XRP/USDT,0.6185,0.6201,0.6173,0.6194,10969404.4,6787472.52860,20024
